City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,El Campo,29.1966,-96.2697,76.82,78,75,8.05,US,2/2/2022 20:26
286,Lavrentiya,65.5833,-171,0.1,69,1,20.31,RU,2/2/2022 20:25
287,Khatanga,71.9667,102.5,-37.91,99,52,1.66,RU,2/2/2022 20:26
288,Piacabucu,-10.4056,-36.4344,83.21,66,13,11.97,BR,2/2/2022 20:26
289,Sim,54.993,57.6982,28.35,91,100,8.16,RU,2/2/2022 20:26
290,San Matias,-16.3667,-58.4,85.35,71,93,3.15,BO,2/2/2022 20:26
291,Faya,18.3851,42.4509,57.72,72,9,0.6,SA,2/2/2022 20:25
292,Orotukan,62.2667,151.7,-12.14,99,100,2.89,RU,2/2/2022 20:26
293,Korla,41.7597,86.1469,23.67,57,17,5.14,CN,2/2/2022 20:26
294,Cherskiy,68.75,161.3,-12.06,63,62,1.7,RU,2/2/2022 20:23
295,Ciudad Bolivar,8.1222,-63.5497,91.71,36,98,10.51,VE,2/2/2022 20:26
296,Colotlan,22.1,-103.2667,75.18,15,0,13.87,MX,2/2/2022 20:26
297,Lagoa,39.05,-27.9833,58.33,73,0,8.9,PT,2/2/2022 20:26
298,Nome,64.5011,-165.4064,9.1,76,53,20.92,US,2/2/2022 20:27
299,Saint George,37.1041,-113.5841,43.63,22,40,10,US,2/2/2022 20:23
300,Lazaro Cardenas,17.9583,-102.2,80.92,55,0,10.56,MX,2/2/2022 20:27
301,Ibra,22.6906,58.5334,67.82,46,0,9.08,OM,2/2/2022 20:25
302,Mahebourg,-20.4081,57.7,80.89,89,75,29.93,MU,2/2/2022 20:27
303,Longyearbyen,78.2186,15.6401,17.44,67,87,14.97,SJ,2/2/2022 20:27
304,Ubauro,28.1652,69.7289,62.42,27,0,7.16,PK,2/2/2022 20:27
305,Katherine,-14.4667,132.2667,77.32,94,78,4.61,AU,2/2/2022 20:23
306,Kiama,-34.6833,150.8667,65.37,74,100,3,AU,2/2/2022 20:23
307,Thompson,55.7435,-97.8558,-12.84,58,20,13.8,CA,2/2/2022 20:26
308,Santa Marta,11.2408,-74.199,94.33,62,20,10.36,CO,2/2/2022 20:27
