City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
67,Hasaki,35.7333,140.8333,36,54,71,13.06,broken clouds,JP
68,Natal,-5.795,-35.2094,81.25,83,20,10.36,few clouds,BR
69,Busselton,-33.65,115.3333,81.05,36,39,7.96,scattered clouds,AU
70,Kelso,46.1468,-122.9084,50.76,92,100,8.05,overcast clouds,US
71,Bengkulu,-3.8004,102.2655,75.96,88,100,4.32,overcast clouds,ID
72,Kapaa,22.0752,-159.319,79.12,65,20,1.01,few clouds,US
73,Faanui,-16.4833,-151.75,80.96,72,60,15.75,light rain,PF
74,Doha,25.2867,51.5333,62.91,88,0,1.14,clear sky,QA
75,Souillac,-20.5167,57.5167,80.98,89,75,25.32,light rain,MU
76,Havre-Saint-Pierre,50.2334,-63.5986,18.19,73,100,19.57,overcast clouds,CA
77,Dodge City,37.7528,-100.0171,16.25,59,100,11.01,overcast clouds,US
78,Albany,42.6001,-73.9662,40.87,92,100,3,snow,US
79,Kaitangata,-46.2817,169.8464,48.56,97,100,2.68,moderate rain,NZ
80,Coahuayana,18.7333,-103.6833,85.48,44,0,5.77,clear sky,MX
81,Katsuura,35.1333,140.3,43.2,62,99,9.8,overcast clouds,JP
82,Carnarvon,-24.8667,113.6333,80.91,58,24,6.78,few clouds,AU
83,Cape Town,-33.9258,18.4232,64.27,65,75,4,broken clouds,ZA
84,Pemberton,50.3164,-122.8027,40.1,94,96,0.6,overcast clouds,CA
85,Fuerte Olimpo,-21.0415,-57.8738,78.89,77,70,7.45,broken clouds,PY
86,Isangel,-19.55,169.2667,86.11,79,75,4.61,broken clouds,VU
87,Kavieng,-2.5744,150.7967,81.54,76,96,7.29,light rain,PG
88,Tasiilaq,65.6145,-37.6368,12.36,60,100,7.29,overcast clouds,GL
89,Samarai,-10.6167,150.6667,82.72,73,88,8.08,overcast clouds,PG
90,Hermanus,-34.4187,19.2345,61.9,71,39,9.6,scattered clouds,ZA
91,Vao,-22.6667,167.4833,78.53,89,89,14.18,moderate rain,NC
92,Solnechnyy,50.7214,136.6319,-11.33,98,69,2.44,broken clouds,RU
93,Ancud,-41.8697,-73.8203,65.23,93,65,7.29,light rain,CL
94,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,100,14.97,light snow,CA
95,Taikang,46.8333,124.4167,-9.33,90,29,7.2,scattered clouds,CN
96,Semey,50.4111,80.2275,-5.78,98,74,8.03,broken clouds,KZ
97,Vesyegonsk,58.664,37.2604,0.82,100,100,2.26,overcast clouds,RU
